# wavelength throughput charge
6.511413336828499041e+02 6.550630922311038162e-01 1.625480000000000074e-07
6.511413336828499041e+02 6.574826821993621229e-01 1.505910000000000016e-07
6.511413336828499041e+02 6.570635828385044119e-01 1.525850000000000127e-07
6.551312806169939904e+02 6.388711213450619653e-01 1.442710000000000085e-07
6.591211266897583982e+02 6.227858318867904863e-01 1.418920000000000109e-07
6.631108757856460443e+02 6.152337654382604715e-01 1.463440000000000034e-07
6.671005317891592767e+02 5.989372042319071054e-01 1.545150000000000042e-07
6.710900985848011260e+02 5.834521245614764373e-01 1.368490000000000100e-07
6.750795800570742813e+02 5.688626186105556481e-01 1.005719999999999956e-07
6.790689800904810909e+02 5.496714174522270291e-01 5.252130000000000060e-08
6.830583025695244714e+02 5.296607884902639896e-01 1.341200000000000125e-07
6.870475513787071122e+02 5.097524345040971294e-01 9.837030000000000306e-08
6.910367304025315889e+02 4.906143423097132916e-01 7.011790000000000082e-08
6.950258435255007043e+02 4.702169842445383940e-01 5.464570000000000207e-08
6.990148946321170342e+02 -1.010017814604056291e-02 1.090669999999999916e-09
7.030038876068832678e+02 4.183261575859014147e-01 3.711449999999999793e-08
7.069928263343022081e+02 3.760059510350175493e-01 2.523530000000000032e-08
7.109817146988763170e+02 3.103289392175672678e-01 1.023060000000000063e-08
7.149705565851086249e+02 3.611946022485527652e-01 2.141349999999999848e-08
7.149705565851086249e+02 3.465477156038341833e-01 2.310060000000000106e-08
7.189593558775014799e+02 -5.614772924310377222e-01 9.841770000000000850e-10
7.229481164605576851e+02 1.446114535312460259e+00 1.861539999999999964e-09
7.269368422187798160e+02 2.568483784190163030e-02 3.837219999999999701e-09
7.309255370366709030e+02 1.502667941923196138e-01 5.248029999999999712e-09
7.349142047987331807e+02 2.130201874877230006e-01 1.448510000000000078e-08
7.389028493894695657e+02 2.753140907393174519e-01 7.926149999999999807e-08
7.428914746933827473e+02 2.250120290795059041e-01 3.320999999999999761e-08
7.468800845949753011e+02 9.986812309257001030e-02 9.645019999999999435e-09
7.508686829787500301e+02 2.247800427829486636e-01 7.221269999999999652e-08
7.548572737292096235e+02 2.067379598800336837e-01 9.710980000000000312e-08
7.588458607308565433e+02 1.976177596369636802e-01 1.096230000000000016e-07
7.628344478681935925e+02 1.861083154081016877e-01 9.757109999999999945e-08
7.668230390257236877e+02 1.720262401978373545e-01 1.253749999999999960e-07
7.708116380879491771e+02 1.567171801971535550e-01 1.013730000000000039e-07
7.748002489393729775e+02 9.630207506095908587e-02 3.673690000000000122e-08
7.787888754644976643e+02 1.148135921095493617e-01 6.535520000000000278e-08
7.827775215478256996e+02 1.178888862040170238e-01 1.194260000000000002e-07
7.867661910738602273e+02 1.116242405534025595e-01 1.491109999999999910e-07
7.907548879271035958e+02 1.040297412324276694e-01 1.703650000000000038e-07
7.947436159920586078e+02 8.272451084405435529e-02 1.083760000000000038e-07
7.987323791532279529e+02 7.457139177172952826e-02 1.013179999999999944e-07
8.027211812951142065e+02 -9.955334191708845037e-02 1.626569999999999854e-08
8.067100263022200579e+02 -7.029087369428467513e-02 1.929310000000000155e-08
8.106989180590483102e+02 5.205416073911507679e-02 1.222570000000000074e-07
8.146878604501016525e+02 2.836429635134369437e-02 9.715780000000000461e-08
8.186768573598827743e+02 2.630747645379225008e-02 9.893980000000000031e-08
8.226659126728941374e+02 3.215998646315552933e-02 1.362640000000000084e-07
8.266550302736385447e+02 1.958223164317811349e-02 1.261429999999999934e-07
8.306442140466187993e+02 1.299092773281649085e-02 1.256489999999999891e-07
8.346334678763374768e+02 1.692998885132696550e-03 1.119930000000000023e-07
8.386227956472972664e+02 -2.348271979504849491e-02 7.843219999999999474e-08
8.426122012440007438e+02 -1.556477107839612795e-02 9.318699999999999925e-08
8.466016885509508256e+02 -2.246781230285430087e-02 9.804230000000000171e-08
