# wavelength throughput charge
7.508686829787500301e+02 2.844211552540177879e-01 7.221269999999999652e-08
7.548572737292096235e+02 2.648220903372721091e-01 9.710980000000000312e-08
7.588458607308565433e+02 2.446440942617804648e-01 1.096230000000000016e-07
7.628344478681935925e+02 2.344013660534461918e-01 9.757109999999999945e-08
7.668230390257236877e+02 2.153803041428744014e-01 1.253749999999999960e-07
7.708116380879491771e+02 2.110720643390917306e-01 1.013730000000000039e-07
7.748002489393729775e+02 2.660250028657116239e-01 3.673690000000000122e-08
7.787888754644976643e+02 1.975265432738285976e-01 6.535520000000000278e-08
7.827775215478256996e+02 1.760104428731992798e-01 1.194260000000000002e-07
7.867661910738602273e+02 1.565293324696150346e-01 1.491109999999999910e-07
7.907548879271035958e+02 1.459095126559659117e-01 1.703650000000000038e-07
7.947436159920586078e+02 1.511859608069747174e-01 1.083760000000000038e-07
7.987323791532279529e+02 1.463239208585583873e-01 1.013179999999999944e-07
8.027211812951142065e+02 3.777545221572770617e-01 1.626569999999999854e-08
8.067100263022200579e+02 3.583221014125907988e-01 1.929310000000000155e-08
8.106989180590483102e+02 1.191363937852072952e-01 1.222570000000000074e-07
8.146878604501016525e+02 1.258227986707564638e-01 9.715780000000000461e-08
8.186768573598827743e+02 1.230725244375105026e-01 9.893980000000000031e-08
8.226659126728941374e+02 9.966910577768801904e-02 1.362640000000000084e-07
8.266550302736385447e+02 1.068065698013899445e-01 1.261429999999999934e-07
8.306442140466187993e+02 1.089984244464783925e-01 1.256489999999999891e-07
8.346334678763374768e+02 1.185605613682775838e-01 1.119930000000000023e-07
8.386227956472972664e+02 1.206318649661609343e-01 7.843219999999999474e-08
8.426122012440007438e+02 1.021387630481266906e-01 9.318699999999999925e-08
8.466016885509508256e+02 1.123353072317796880e-01 9.804230000000000171e-08
8.505912614526500874e+02 1.233128571438886212e-01 9.492750000000000084e-08
8.545809238336011049e+02 1.003981971300500486e-01 1.066749999999999940e-07
8.585706795783065672e+02 8.367038024657989792e-02 1.396839999999999953e-07
8.625605325712692775e+02 1.102735548306696400e-01 1.116169999999999995e-07
8.665504866969919249e+02 1.023082858109481685e-01 1.413869999999999941e-07
8.705405458399771987e+02 1.026749077977805458e-01 1.165489999999999936e-07
8.745307138847275610e+02 1.768172942414020232e-01 6.697850000000000647e-08
8.785209947157460419e+02 1.345327147509040033e-01 1.050950000000000024e-07
8.825113922175351036e+02 1.215064470435527483e-01 1.246009999999999919e-07
8.865019102745974351e+02 1.239362915153519179e-01 1.328609999999999878e-07
8.904925527714357258e+02 1.682294677771119795e-01 9.714090000000000397e-08
8.944833235925525514e+02 1.115566741019187319e-01 1.437060000000000032e-07
8.984742266224507148e+02 1.409346723088388265e-01 1.140920000000000002e-07
