# WAVE RELTPT CHARGE
7.400000000000000000e+02 9.377778674379221302e-01 4.749439999999999944e-07
7.410000000000000000e+02 9.483200591124820722e-01 3.398810000000000244e-07
7.440000000000000000e+02 1.128659370647267401e+00 6.156059999999999605e-08
7.470000000000000000e+02 1.088320092070617751e+00 6.639289999999999890e-08
7.500000000000000000e+02 8.784648000546966262e-01 6.607600000000000484e-07
7.510000000000000000e+02 8.616556989436510161e-01 1.043310000000000096e-06
7.540000000000000000e+02 8.417211625861586999e-01 1.785439999999999926e-06
7.570000000000000000e+02 8.257074688822547692e-01 1.101459999999999912e-06
7.600000000000000000e+02 7.926269397935588046e-01 1.565379999999999952e-06
7.630000000000000000e+02 7.781255042927088805e-01 2.980289999999999802e-06
7.660000000000000000e+02 7.695763018124973653e-01 2.892809999999999922e-06
7.690000000000000000e+02 7.479662035369862849e-01 2.769909999999999794e-06
7.720000000000000000e+02 7.464263107671298414e-01 8.070290000000000197e-07
7.750000000000000000e+02 7.930759573737474755e-01 1.636125000000000101e-07
7.780000000000000000e+02 7.376456747881239284e-01 3.699160000000000151e-07
7.810000000000000000e+02 6.873580027128800563e-01 1.347700000000000031e-06
7.840000000000000000e+02 6.611444423262309300e-01 1.704169999999999940e-06
7.870000000000000000e+02 6.515177037661399329e-01 1.191850000000000075e-06
7.900000000000000000e+02 6.284551000552320854e-01 1.428640000000000013e-06
7.930000000000000000e+02 6.108868006513752391e-01 3.385040000000000035e-06
7.960000000000000000e+02 5.890335548664580312e-01 2.521860000000000110e-06
7.990000000000000000e+02 5.764882954400092352e-01 1.334560000000000060e-06
8.020000000000000000e+02 7.167995637355555338e-01 8.237749999999999765e-08
8.050000000000000000e+02 8.218129287987150366e-01 5.159590000000000212e-08
8.080000000000000000e+02 5.455689905902540993e-01 4.476159999999999763e-07
8.110000000000000000e+02 5.010728429343307422e-01 2.541560000000000108e-06
8.140000000000000000e+02 4.809226292313631967e-01 2.854249999999999820e-06
8.170000000000000000e+02 4.666459171407358886e-01 2.763179999999999945e-06
8.200000000000000000e+02 4.520172660903881701e-01 2.596500000000000043e-06
8.230000000000000000e+02 4.355979224805582861e-01 2.813820000000000192e-06
8.260000000000000000e+02 4.179751824047502340e-01 3.738359999999999813e-06
8.290000000000000000e+02 4.066955629585549126e-01 3.558030000000000051e-06
8.320000000000000000e+02 3.872217942711080330e-01 3.167700000000000181e-06
8.350000000000000000e+02 3.804163574476180365e-01 2.503779999999999938e-06
8.380000000000000000e+02 3.737296770055009709e-01 7.152619999999999630e-07
8.410000000000000000e+02 3.717686947998488645e-01 5.866399999999999644e-07
8.440000000000000000e+02 3.411209305669916647e-01 1.482359999999999941e-06
8.470000000000000000e+02 3.272350377429601442e-01 2.777169999999999873e-06
8.500000000000000000e+02 3.158339232713722744e-01 2.684125000000000326e-06
8.530000000000000000e+02 3.070156366162681838e-01 2.271020000000000069e-06
8.560000000000000000e+02 2.964362928391982566e-01 2.084160000000000049e-06
8.590000000000000000e+02 2.862069424789923100e-01 2.362959999999999819e-06
8.620000000000000000e+02 2.751702219078990264e-01 2.651709999999999807e-06
8.650000000000000000e+02 2.661442242002430292e-01 3.007559999999999966e-06
8.680000000000000000e+02 2.580751507620926422e-01 2.438109999999999853e-06
8.710000000000000000e+02 2.627041528485608568e-01 8.290049999999999512e-07
8.740000000000000000e+02 2.685097506260809008e-01 3.955469999999999883e-07
8.770000000000000000e+02 2.529990249096912280e-01 5.906989999999999877e-07
8.800000000000000000e+02 2.204536172556623708e-01 1.878379999999999963e-06
8.830000000000000000e+02 2.162705928020827728e-01 3.274790000000000117e-06
8.860000000000000000e+02 2.016739188219949797e-01 3.420010000000000142e-06
8.890000000000000000e+02 1.995145097265539069e-01 2.912309999999999904e-06
8.920000000000000000e+02 1.875946996333728856e-01 2.422259999999999827e-06
8.950000000000000000e+02 1.840417347900666634e-01 2.969390000000000042e-06
8.980000000000000000e+02 1.756742742528291934e-01 3.129819999999999792e-06
9.010000000000000000e+02 1.628824327573267783e-01 3.465889999999999862e-06
9.040000000000000000e+02 1.667499486909854167e-01 3.618569999999999983e-06
9.070000000000000000e+02 1.491026840430869638e-01 2.902480000000000034e-06
9.100000000000000000e+02 1.525060790864728455e-01 2.862139999999999925e-06
9.130000000000000000e+02 1.924702198298604561e-01 4.452320000000000259e-07
9.160000000000000000e+02 3.050546411303191041e-01 1.431760000000000110e-07
9.190000000000000000e+02 2.426914155121854266e-01 2.526110000000000112e-07
