# WAVE RELTPT CHARGE
7.860000000000000000e+02 4.500485077214485541e-01 1.948369999999999863e-06
7.890000000000000000e+02 4.385793519222891401e-01 1.676610000000000029e-06
7.920000000000000000e+02 4.243315001076203297e-01 3.001690000000000139e-06
7.950000000000000000e+02 4.113702870202170514e-01 4.204289999999999857e-06
7.980000000000000000e+02 3.995788862060564162e-01 3.097610000000000061e-06
8.000000000000000000e+02 3.933437445201193317e-01 1.044780000000000016e-06
8.010000000000000000e+02 3.933036884103322528e-01 3.999909999999999982e-07
8.040000000000000000e+02 4.842609959615809534e-01 6.055739999999999935e-08
8.070000000000000000e+02 3.798100216911115545e-01 3.194360000000000024e-07
8.100000000000000000e+02 3.478033644504684996e-01 2.424699999999999841e-06
8.130000000000000000e+02 3.343300359676432132e-01 4.569790000000000000e-06
8.160000000000000000e+02 3.227978907154472887e-01 4.685230000000000033e-06
8.190000000000000000e+02 3.140105757333122583e-01 3.384720000000000096e-06
8.220000000000000000e+02 3.003334050708865721e-01 3.616879999999999919e-06
8.250000000000000000e+02 2.904454932093044617e-01 4.498919999999999948e-06
8.280000000000000000e+02 2.800783450196784874e-01 3.457299999999999916e-06
8.310000000000000000e+02 2.694136893199877703e-01 4.956389999999999822e-06
8.340000000000000000e+02 2.589680964811492681e-01 4.619980000000000107e-06
8.370000000000000000e+02 2.501701783957065439e-01 1.800109999999999990e-06
8.400000000000000000e+02 2.446619777941210772e-01 8.511020000000000464e-07
8.430000000000000000e+02 2.331280486015757381e-01 1.451140000000000009e-06
8.460000000000000000e+02 2.235654546242664131e-01 3.624530000000000177e-06
8.490000000000000000e+02 2.148140660359834919e-01 3.279309999999999948e-06
8.520000000000000000e+02 2.087399882554967778e-01 4.172740000000000134e-06
8.550000000000000000e+02 2.012962999366266492e-01 3.207659999999999965e-06
8.580000000000000000e+02 1.957495140509801779e-01 3.012840000000000024e-06
8.610000000000000000e+02 1.885705262142267080e-01 3.276379999999999961e-06
8.640000000000000000e+02 1.819526054837515561e-01 3.682860000000000091e-06
8.670000000000000000e+02 1.757361161735226385e-01 3.719530000000000114e-06
8.700000000000000000e+02 1.714990832247539343e-01 1.871800000000000019e-06
8.730000000000000000e+02 1.683632862876091596e-01 7.644089999999999729e-07
8.760000000000000000e+02 1.636134116032423869e-01 7.033249999999999534e-07
