# WAVE RELTPT CHARGE
7.940000000000000000e+02 8.683510605414830330e-01 7.637290000000000488e-07
7.970000000000000000e+02 8.406202384837926367e-01 8.239149999999999500e-07
8.000000000000000000e+02 8.127716471569126355e-01 8.028419999999999571e-07
8.030000000000000000e+02 8.419280279650143139e-01 9.852409999999999481e-08
8.060000000000000000e+02 7.864027374088748967e-01 1.731190000000000032e-07
8.090000000000000000e+02 7.349582688538744968e-01 6.296100000000000375e-07
8.120000000000000000e+02 7.030488304138873268e-01 7.828380000000000382e-07
8.150000000000000000e+02 6.765846158564245982e-01 7.392229999999999484e-07
8.180000000000000000e+02 6.503001566818598089e-01 7.952779999999999563e-07
8.210000000000000000e+02 6.269688499456501640e-01 5.851249999999999670e-07
8.240000000000000000e+02 6.033506797226754204e-01 6.827450000000000166e-07
8.270000000000000000e+02 5.785941306994888400e-01 7.311459999999999747e-07
8.300000000000000000e+02 5.566233340609899605e-01 7.422760000000000486e-07
8.330000000000000000e+02 5.282465713421106157e-01 7.347089999999999650e-07
8.360000000000000000e+02 5.077139085161743726e-01 5.264290000000000084e-07
8.390000000000000000e+02 4.770368661686969491e-01 8.239520000000000184e-07
8.420000000000000000e+02 4.554765269251279669e-01 5.787919999999999592e-07
8.450000000000000000e+02 4.306732319610309112e-01 7.313719999999999663e-07
8.480000000000000000e+02 4.100709597007998752e-01 7.928279999999999840e-07
8.500000000000000000e+02 2.100346877514517874e-01 1.012573999999999972e-06
8.510000000000000000e+02 3.896514072315753197e-01 8.392760000000000304e-07
8.540000000000000000e+02 3.736482426414355906e-01 6.898640000000000157e-07
8.570000000000000000e+02 3.564059834010984140e-01 6.946719999999999619e-07
8.600000000000000000e+02 3.397063144806033996e-01 5.822120000000000256e-07
8.630000000000000000e+02 3.242746831962943777e-01 6.764219999999999672e-07
8.660000000000000000e+02 3.077271861663832819e-01 7.777759999999999628e-07
8.690000000000000000e+02 2.873189044880438692e-01 6.639069999999999905e-07
8.720000000000000000e+02 2.638307200749240300e-01 7.114989999999999577e-07
8.750000000000000000e+02 2.378735096735877241e-01 5.568160000000000277e-07
8.780000000000000000e+02 2.016144602217888604e-01 6.250479999999999997e-07
8.810000000000000000e+02 1.668017604486289607e-01 7.029919999999999729e-07
8.840000000000000000e+02 1.318589927490367020e-01 6.483920000000000001e-07
8.870000000000000000e+02 1.079240448301389127e-01 6.787100000000000205e-07
8.900000000000000000e+02 7.959932364816540984e-02 6.345219999999999957e-07
8.930000000000000000e+02 6.202689728418413206e-02 7.261359999999999583e-07
8.960000000000000000e+02 4.904875555593778830e-02 6.164030000000000172e-07
