# Wavelength	Telescope/TS04
804	0.61799
805	0.59722
806	0.62589
807	0.61208
808	0.59579
809	0.61770
810	0.58514
811	0.61352
812	0.58097
813	0.61584
814	0.58085
815	0.61331
816	0.57660
817	0.61226
818	0.57306
819	0.60705
820	0.57178
821	0.60435
822	0.57324
823	0.60257
824	0.57197
825	0.59797
826	0.57371
827	0.58595
828	0.58168
829	0.57579
830	0.58753
831	0.56496
832	0.59246
833	0.55712
834	0.59815
835	0.54866
836	0.59535
837	0.54625
838	0.59397
839	0.54760
840	0.58377
841	0.54346
842	0.58594
843	0.53555
844	0.58957
845	0.52948
846	0.59502
847	0.52209
848	0.59465
849	0.52179
850	0.58320
851	0.52789
852	0.56984
853	0.54415
854	0.54494
855	0.56508
856	0.52250
857	0.58175
858	0.50749
859	0.58490
860	0.50520
861	0.57425
862	0.52008
863	0.53874
864	0.55576
865	0.51020
866	0.58001
867	0.49183
868	0.57831
869	0.49728
870	0.56190
871	0.51789
872	0.53643
873	0.54019
874	0.51123
875	0.56005
876	0.49167
877	0.56887
878	0.47378
879	0.56782
880	0.47806
881	0.54713
882	0.51037
883	0.49965
884	0.55606
885	0.46494
886	0.56205
887	0.47892
888	0.52129
889	0.52684
890	0.47191
891	0.55969
892	0.45480
893	0.54795
894	0.48219
895	0.50026
896	0.54350
897	0.44927
898	0.55546
899	0.46793
900	0.50781
901	0.52368
902	0.45161
903	0.56110
904	0.46446
905	0.50732
906	0.53265
907	0.44670
908	0.55995
909	0.45605
910	0.50357
911	0.52864
912	0.45207
913	0.56859
914	0.44369
915	0.53278
916	0.48668
917	0.48208
918	0.53875
919	0.42395
920	0.54354
921	0.44475
922	0.47290
923	0.52068
924	0.41329
925	0.53107
926	0.44762
927	0.45383
928	0.52768
929	0.40495
930	0.51050
931	0.46356
932	0.41465
933	0.53324
934	0.41314
935	0.47125
936	0.50882
937	0.39455
938	0.51705
939	0.45508
940	0.41410
941	0.52763
942	0.40586
943	0.45278
944	0.51120
945	0.38254
946	0.48606
947	0.48009
948	0.38735
949	0.51436
950	0.41873
951	0.41241
952	0.51982
953	0.38028
954	0.46476
955	0.48009
956	0.37306
957	0.50997
958	0.40513
959	0.41702
960	0.50161
961	0.36452
962	0.46692
963	0.43893
964	0.37354
965	0.50347
966	0.38946
967	0.40079
968	0.49922
969	0.36234
970	0.42466
971	0.48278
972	0.35432
973	0.43064
974	0.47261
975	0.34392
976	0.45273
977	0.44380
978	0.34096
979	0.46362
980	0.42280
981	0.34495
982	0.47170
983	0.40158
984	0.34980
985	0.47622
986	0.38612
987	0.35385
988	0.47722
989	0.37313
990	0.34465
991	0.47489
992	0.37882
993	0.34323
994	0.46716
995	0.37115
996	0.33258
997	0.46572
998	0.37342
999	0.32622
1000	0.46230
1001	0.31813
1002	0.37873
1003	0.45358
1004	0.31388
1005	0.37812
1006	0.44477
1007	0.30576
1008	0.37984
1009	0.43878
1010	0.29936
1011	0.37472
1012	0.43908
1013	0.30077
1014	0.34783
1015	0.43859
1016	0.31351
1017	0.32306
1018	0.43423
1019	0.31220
1020	0.31259
1021	0.42764
1022	0.31600
1023	0.30424
1024	0.42041
1025	0.32066
1026	0.28572
1027	0.40625
1028	0.33539
1029	0.26815
1030	0.38267
1031	0.35529
1032	0.25858
1033	0.36001
1034	0.36717
1035	0.25427
1036	0.32715
1037	0.38202
1038	0.25672
1039	0.28493
1040	0.38498
1041	0.27989
1042	0.25913
1043	0.36549
1044	0.30553
1045	0.23757
1046	0.33752
1047	0.32695
1048	0.22741
1049	0.30060
1050	0.34739
1051	0.23204
1052	0.25711
1053	0.34848
1054	0.25617
1055	0.22552
1056	0.32364
1057	0.28993
1058	0.20747
1059	0.28697
1060	0.31179
1061	0.20531
1062	0.25518
1063	0.31230
1064	0.20567
1065	0.22017
1066	0.30683
1067	0.25029
1068	0.18780
1069	0.25118
1070	0.28779
1071	0.19296
1072	0.21057
1073	0.28979
1074	0.22652
1075	0.18043
1076	0.25650
1077	0.26720
1078	0.17796
1079	0.20381
1080	0.27791
1081	0.20666
1082	0.17114
1083	0.24657
1084	0.24924
1085	0.16569
1086	0.19786
1087	0.26351
1088	0.19337
1089	0.16209
1090	0.23324
1091	0.23539
1092	0.15632
1093	0.18430
1094	0.24901
1095	0.18881
1096	0.15009
1097	0.20954
1098	0.23694
1099	0.15901
1100	0.15862
1101	0.22792
